name,city,address,lat,lon,accepted_types,verified_at,source_url,status
Городская поликлиника №36,Алматы,"мкр. Шугыла, 340А",43.21391,76.78787,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №26,Алматы,"мкр. Таусамалы, ул. Грозы, 102",43.18985,76.8324,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №27,Алматы,"мкр. Акжар, ул. Даулеткерея, 140",43.18548,76.80627,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №7 (Калкаман),Алматы,"мкр. Калкаман, 20",43.20608,76.82874,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №10,Алматы,"мкр. Аксай-4, дом 17",43.23907,76.82488,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №6,Алматы,"мкр. 4, пр. Алтынсарина, 3а",43.23413,76.85436,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №2,Алматы,"ул. Шухова, 37б",43.2618,76.98944,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Центр ПМСП Медеуского района,Алматы,"ул. Чайкиной, 12А",43.21753,76.96905,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская клиническая больница №5,Алматы,"ул. Достык, 220",43.22683,76.9623,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская больница Алатау,Алматы,"мкр. Алатау, ул. Жетписбаева, 28",,,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
