trade_name,pharmacy,city,price,currency,package_desc,observed_at,source_url
Парацетамол 500 мг,Аптека Дари,Алматы,200,KZT,10 таблеток,2026-07-16,demo
Панадол 500 мг,Аптека Дари,Алматы,925,KZT,12 таблеток,2026-07-16,demo
Ибупрофен 200 мг,Аптека Дари,Алматы,275,KZT,20 таблеток,2026-07-16,demo
Нурофен 200 мг,Аптека Дари,Алматы,1310,KZT,20 таблеток,2026-07-16,demo
Аспирин 500 мг,Аптека Дари,Алматы,355,KZT,10 таблеток,2026-07-16,demo
Но-шпа 40 мг,Аптека Дари,Алматы,1575,KZT,24 таблетки,2026-07-16,demo
Амоксициллин 500 мг,Аптека Дари,Алматы,820,KZT,16 капсул,2026-07-16,demo
ТераФлю,Аптека Дари,Алматы,2100,KZT,10 пакетиков,2026-07-16,demo
Цитрамон,Аптека Дари,Алматы,160,KZT,10 таблеток,2026-07-16,demo
Активированный уголь,Аптека Дари,Алматы,125,KZT,10 таблеток,2026-07-16,demo
Лоратадин 10 мг,Аптека Дари,Алматы,450,KZT,10 таблеток,2026-07-16,demo
Омепразол 20 мг,Аптека Дари,Алматы,725,KZT,30 капсул,2026-07-16,demo
Амброксол сироп,Аптека Дари,Алматы,1000,KZT,100 мл,2026-07-16,demo
Ксилометазолин капли,Аптека Дари,Алматы,650,KZT,10 мл,2026-07-16,demo
Парацетамол 500 мг,ФармЛайн,Алматы,215,KZT,10 таблеток,2026-07-14,demo
Панадол 500 мг,ФармЛайн,Алматы,1000,KZT,12 таблеток,2026-07-14,demo
Ибупрофен 200 мг,ФармЛайн,Алматы,295,KZT,20 таблеток,2026-07-14,demo
Нурофен 200 мг,ФармЛайн,Алматы,1420,KZT,20 таблеток,2026-07-14,demo
Аспирин 500 мг,ФармЛайн,Алматы,385,KZT,10 таблеток,2026-07-14,demo
Но-шпа 40 мг,ФармЛайн,Алматы,1700,KZT,24 таблетки,2026-07-14,demo
Амоксициллин 500 мг,ФармЛайн,Алматы,885,KZT,16 капсул,2026-07-14,demo
ТераФлю,ФармЛайн,Алматы,2270,KZT,10 пакетиков,2026-07-14,demo
Цитрамон,ФармЛайн,Алматы,170,KZT,10 таблеток,2026-07-14,demo
Активированный уголь,ФармЛайн,Алматы,135,KZT,10 таблеток,2026-07-14,demo
Лоратадин 10 мг,ФармЛайн,Алматы,490,KZT,10 таблеток,2026-07-14,demo
Омепразол 20 мг,ФармЛайн,Алматы,780,KZT,30 капсул,2026-07-14,demo
Амброксол сироп,ФармЛайн,Алматы,1075,KZT,100 мл,2026-07-14,demo
Ксилометазолин капли,ФармЛайн,Алматы,705,KZT,10 мл,2026-07-14,demo
Парацетамол 500 мг,Салауат Фарм,Алматы,190,KZT,10 таблеток,2026-07-15,demo
Панадол 500 мг,Салауат Фарм,Алматы,880,KZT,12 таблеток,2026-07-15,demo
Ибупрофен 200 мг,Салауат Фарм,Алматы,260,KZT,20 таблеток,2026-07-15,demo
Нурофен 200 мг,Салауат Фарм,Алматы,1245,KZT,20 таблеток,2026-07-15,demo
Аспирин 500 мг,Салауат Фарм,Алматы,340,KZT,10 таблеток,2026-07-15,demo
Но-шпа 40 мг,Салауат Фарм,Алматы,1495,KZT,24 таблетки,2026-07-15,demo
Амоксициллин 500 мг,Салауат Фарм,Алматы,780,KZT,16 капсул,2026-07-15,demo
ТераФлю,Салауат Фарм,Алматы,1995,KZT,10 пакетиков,2026-07-15,demo
Цитрамон,Салауат Фарм,Алматы,150,KZT,10 таблеток,2026-07-15,demo
Активированный уголь,Салауат Фарм,Алматы,120,KZT,10 таблеток,2026-07-15,demo
Лоратадин 10 мг,Салауат Фарм,Алматы,430,KZT,10 таблеток,2026-07-15,demo
Омепразол 20 мг,Салауат Фарм,Алматы,690,KZT,30 капсул,2026-07-15,demo
Амброксол сироп,Салауат Фарм,Алматы,950,KZT,100 мл,2026-07-15,demo
Ксилометазолин капли,Салауат Фарм,Алматы,620,KZT,10 мл,2026-07-15,demo
Парацетамол 500 мг,Шипагер,Алматы,205,KZT,10 таблеток,2026-07-10,demo
Панадол 500 мг,Шипагер,Алматы,950,KZT,12 таблеток,2026-07-10,demo
Ибупрофен 200 мг,Шипагер,Алматы,280,KZT,20 таблеток,2026-07-10,demo
Нурофен 200 мг,Шипагер,Алматы,1350,KZT,20 таблеток,2026-07-10,demo
Аспирин 500 мг,Шипагер,Алматы,370,KZT,10 таблеток,2026-07-10,demo
Но-шпа 40 мг,Шипагер,Алматы,1620,KZT,24 таблетки,2026-07-10,demo
Амоксициллин 500 мг,Шипагер,Алматы,845,KZT,16 капсул,2026-07-10,demo
ТераФлю,Шипагер,Алматы,2165,KZT,10 пакетиков,2026-07-10,demo
Цитрамон,Шипагер,Алматы,160,KZT,10 таблеток,2026-07-10,demo
Активированный уголь,Шипагер,Алматы,130,KZT,10 таблеток,2026-07-10,demo
Лоратадин 10 мг,Шипагер,Алматы,465,KZT,10 таблеток,2026-07-10,demo
Омепразол 20 мг,Шипагер,Алматы,745,KZT,30 капсул,2026-07-10,demo
Амброксол сироп,Шипагер,Алматы,1025,KZT,100 мл,2026-07-10,demo
Ксилометазолин капли,Шипагер,Алматы,670,KZT,10 мл,2026-07-10,demo
Парацетамол 500 мг,Аптека Дари,Астана,205,KZT,10 таблеток,2026-07-16,demo
Панадол 500 мг,Аптека Дари,Астана,950,KZT,12 таблеток,2026-07-16,demo
